uid	code	category	long_description	short_description
912376	14098	1		Integumentary system
912377	14099	1		Integumentary system
912378	14100	1		Integumentary system
912379	14101	1		Integumentary system
912380	14102	1		Integumentary system
912381	14103	1		Integumentary system
912382	14104	1		Integumentary system
912383	14105	1		Integumentary system
912384	14106	1		Integumentary system
912385	14107	1		Integumentary system
912386	14108	1		Integumentary system
912387	14109	1		Integumentary system
912388	14110	1		Integumentary system
912389	14111	1		Integumentary system
912390	14112	1		Integumentary system
912391	14113	1		Integumentary system
912392	14114	1		Integumentary system
912393	14115	1		Integumentary system
912394	14116	1		Integumentary system
912395	14117	1		Integumentary system
912396	14118	1		Integumentary system
912397	14119	1		Integumentary system
912398	14120	1		Integumentary system
912399	14121	1		Integumentary system
912400	14122	1		Integumentary system
912401	14123	1		Integumentary system
912402	14124	1		Integumentary system
912403	14125	1		Integumentary system
912404	14126	1		Integumentary system
912405	14127	1		Integumentary system
912406	14128	1		Integumentary system
912407	14129	1		Integumentary system
912408	14130	1		Integumentary system
912409	14131	1		Integumentary system
912410	14132	1		Integumentary system
912411	14133	1		Integumentary system
912412	14134	1		Integumentary system
912413	14135	1		Integumentary system
912414	14136	1		Integumentary system
912415	14137	1		Integumentary system
912416	14138	1		Integumentary system
912417	14139	1		Integumentary system
912418	14140	1		Integumentary system
912419	14141	1		Integumentary system
912420	14142	1		Integumentary system
912421	14143	1		Integumentary system
912422	14144	1		Integumentary system
912423	14145	1		Integumentary system
912424	14146	1		Integumentary system
912425	14147	1		Integumentary system
912426	14148	1		Integumentary system
912427	14149	1		Integumentary system
912428	14150	1		Integumentary system
912429	14151	1		Integumentary system
912430	14152	1		Integumentary system
912431	14153	1		Integumentary system
912432	14154	1		Integumentary system
912433	14155	1		Integumentary system
912434	14156	1		Integumentary system
912435	14157	1		Integumentary system
912436	14158	1		Integumentary system
912437	14159	1		Integumentary system
912438	14160	1		Integumentary system
912439	14161	1		Integumentary system
912440	14162	1		Integumentary system
912441	14163	1		Integumentary system
912442	14164	1		Integumentary system
912443	14165	1		Integumentary system
912444	14166	1		Integumentary system
912445	14167	1		Integumentary system
912446	14168	1		Integumentary system
912447	14169	1		Integumentary system
912448	14170	1		Integumentary system
912449	14171	1		Integumentary system
912450	14172	1		Integumentary system
912451	14173	1		Integumentary system
912452	14174	1		Integumentary system
912453	14175	1		Integumentary system
912454	14176	1		Integumentary system
912455	14177	1		Integumentary system
912456	14178	1		Integumentary system
912457	14179	1		Integumentary system
912458	14180	1		Integumentary system
912459	14181	1		Integumentary system
912460	14182	1		Integumentary system
912461	14183	1		Integumentary system
912462	14184	1		Integumentary system
912463	14185	1		Integumentary system
912464	14186	1		Integumentary system
912465	14187	1		Integumentary system
912466	14188	1		Integumentary system
912467	14189	1		Integumentary system
912468	14190	1		Integumentary system
912469	14191	1		Integumentary system
912470	14192	1		Integumentary system
912471	14193	1		Integumentary system
912472	14194	1		Integumentary system
912473	14195	1		Integumentary system
912474	14196	1		Integumentary system
912475	14197	1		Integumentary system
912476	14198	1		Integumentary system
912477	14199	1		Integumentary system
912478	14200	1		Integumentary system
912479	14201	1		Integumentary system
912480	14202	1		Integumentary system
912481	14203	1		Integumentary system
912482	14204	1		Integumentary system
912483	14205	1		Integumentary system
912484	14206	1		Integumentary system
912485	14207	1		Integumentary system
912486	14208	1		Integumentary system
912487	14209	1		Integumentary system
912488	14210	1		Integumentary system
912489	14211	1		Integumentary system
912490	14212	1		Integumentary system
912491	14213	1		Integumentary system
912492	14214	1		Integumentary system
912493	14215	1		Integumentary system
912494	14216	1		Integumentary system
912495	14217	1		Integumentary system
912496	14218	1		Integumentary system
912497	14219	1		Integumentary system
912498	14220	1		Integumentary system
912499	14221	1		Integumentary system
912500	14222	1		Integumentary system
912501	14223	1		Integumentary system
912502	14224	1		Integumentary system
912503	14225	1		Integumentary system
912504	14226	1		Integumentary system
912505	14227	1		Integumentary system
912506	14228	1		Integumentary system
912507	14229	1		Integumentary system
912508	14230	1		Integumentary system
912509	14231	1		Integumentary system
912510	14232	1		Integumentary system
912511	14233	1		Integumentary system
912512	14234	1		Integumentary system
912513	14235	1		Integumentary system
912514	14236	1		Integumentary system
912515	14237	1		Integumentary system
912516	14238	1		Integumentary system
912517	14239	1		Integumentary system
912518	14240	1		Integumentary system
912519	14241	1		Integumentary system
912520	14242	1		Integumentary system
912521	14243	1		Integumentary system
912522	14244	1		Integumentary system
912523	14245	1		Integumentary system
912524	14246	1		Integumentary system
912525	14247	1		Integumentary system
912526	14248	1		Integumentary system
912527	14249	1		Integumentary system
912528	14250	1		Integumentary system
912529	14251	1		Integumentary system
912530	14252	1		Integumentary system
912531	14253	1		Integumentary system
912532	14254	1		Integumentary system
912533	14255	1		Integumentary system
912534	14256	1		Integumentary system
912535	14257	1		Integumentary system
912536	14258	1		Integumentary system
912537	14259	1		Integumentary system
912538	14260	1		Integumentary system
912539	14261	1		Integumentary system
912540	14262	1		Integumentary system
912541	14263	1		Integumentary system
912542	14264	1		Integumentary system
912543	14265	1		Integumentary system
912544	14266	1		Integumentary system
912545	14267	1		Integumentary system
912546	14268	1		Integumentary system
912547	14269	1		Integumentary system
912548	14270	1		Integumentary system
912549	14271	1		Integumentary system
912550	14272	1		Integumentary system
912551	14273	1		Integumentary system
912552	14274	1		Integumentary system
912553	14275	1		Integumentary system
912554	14276	1		Integumentary system
912555	14277	1		Integumentary system
912556	14278	1		Integumentary system
912557	14279	1		Integumentary system
912558	14280	1		Integumentary system
912559	14281	1		Integumentary system
912560	14282	1		Integumentary system
912561	14283	1		Integumentary system
912562	14284	1		Integumentary system
912563	14285	1		Integumentary system
912564	14286	1		Integumentary system
912565	14287	1		Integumentary system
912566	14288	1		Integumentary system
912567	14289	1		Integumentary system
912568	14290	1		Integumentary system
912569	14291	1		Integumentary system
912570	14292	1		Integumentary system
912571	14293	1		Integumentary system
912572	14294	1		Integumentary system
912573	14295	1		Integumentary system
912574	14296	1		Integumentary system
912575	14297	1		Integumentary system
912576	14298	1		Integumentary system
912577	14299	1		Integumentary system
912578	14300	1		Integumentary system
912579	14301	1		Integumentary system
912580	14302	1		Integumentary system
912581	14303	1		Integumentary system
912582	14304	1		Integumentary system
912583	14305	1		Integumentary system
912584	14306	1		Integumentary system
912585	14307	1		Integumentary system
912586	14308	1		Integumentary system
912587	14309	1		Integumentary system
912588	14310	1		Integumentary system
912589	14311	1		Integumentary system
912590	14312	1		Integumentary system
912591	14313	1		Integumentary system
912592	14314	1		Integumentary system
912593	14315	1		Integumentary system
912594	14316	1		Integumentary system
912595	14317	1		Integumentary system
912596	14318	1		Integumentary system
912597	14319	1		Integumentary system
912598	14320	1		Integumentary system
912599	14321	1		Integumentary system
912600	14322	1		Integumentary system
912601	14323	1		Integumentary system
912602	14324	1		Integumentary system
912603	14325	1		Integumentary system
912604	14326	1		Integumentary system
912605	14327	1		Integumentary system
912606	14328	1		Integumentary system
912607	14329	1		Integumentary system
912608	14330	1		Integumentary system
912609	14331	1		Integumentary system
912610	14332	1		Integumentary system
912611	14333	1		Integumentary system
912612	14334	1		Integumentary system
912613	14335	1		Integumentary system
912614	14336	1		Integumentary system
912615	14337	1		Integumentary system
912616	14338	1		Integumentary system
912617	14339	1		Integumentary system
912618	14340	1		Integumentary system
912619	14341	1		Integumentary system
912620	14342	1		Integumentary system
912621	14343	1		Integumentary system
912622	14344	1		Integumentary system
912623	14345	1		Integumentary system
912624	14346	1		Integumentary system
912625	14347	1		Integumentary system
912626	14348	1		Integumentary system
912627	14349	1		Integumentary system
912628	14350	1		Integumentary system
912629	14351	1		Integumentary system
912630	14352	1		Integumentary system
912631	14353	1		Integumentary system
912632	14354	1		Integumentary system
912633	14355	1		Integumentary system
912634	14356	1		Integumentary system
912635	14357	1		Integumentary system
912636	14358	1		Integumentary system
912637	14359	1		Integumentary system
912638	14360	1		Integumentary system
912639	14361	1		Integumentary system
912640	14362	1		Integumentary system
912641	14363	1		Integumentary system
912642	14364	1		Integumentary system
912643	14365	1		Integumentary system
912644	14366	1		Integumentary system
912645	14367	1		Integumentary system
912646	14368	1		Integumentary system
912647	14369	1		Integumentary system
912648	14370	1		Integumentary system
912649	14371	1		Integumentary system
912650	14372	1		Integumentary system
912651	14373	1		Integumentary system
912652	14374	1		Integumentary system
912653	14375	1		Integumentary system
912654	14376	1		Integumentary system
912655	14377	1		Integumentary system
912656	14378	1		Integumentary system
912657	14379	1		Integumentary system
912658	14380	1		Integumentary system
912659	14381	1		Integumentary system
912660	14382	1		Integumentary system
912661	14383	1		Integumentary system
912662	14384	1		Integumentary system
912663	14385	1		Integumentary system
912664	14386	1		Integumentary system
912665	14387	1		Integumentary system
912666	14388	1		Integumentary system
912667	14389	1		Integumentary system
912668	14390	1		Integumentary system
912669	14391	1		Integumentary system
912670	14392	1		Integumentary system
912671	14393	1		Integumentary system
912672	14394	1		Integumentary system
912673	14395	1		Integumentary system
912674	14396	1		Integumentary system
912675	14397	1		Integumentary system
912676	14398	1		Integumentary system
912677	14399	1		Integumentary system
912678	14400	1		Integumentary system
912679	14401	1		Integumentary system
912680	14402	1		Integumentary system
912681	14403	1		Integumentary system
912682	14404	1		Integumentary system
912683	14405	1		Integumentary system
912684	14406	1		Integumentary system
912685	14407	1		Integumentary system
912686	14408	1		Integumentary system
912687	14409	1		Integumentary system
912688	14410	1		Integumentary system
912689	14411	1		Integumentary system
912690	14412	1		Integumentary system
912691	14413	1		Integumentary system
912692	14414	1		Integumentary system
912693	14415	1		Integumentary system
912694	14416	1		Integumentary system
912695	14417	1		Integumentary system
912696	14418	1		Integumentary system
912697	14419	1		Integumentary system
912698	14420	1		Integumentary system
912699	14421	1		Integumentary system
912700	14422	1		Integumentary system
912701	14423	1		Integumentary system
912702	14424	1		Integumentary system
912703	14425	1		Integumentary system
912704	14426	1		Integumentary system
912705	14427	1		Integumentary system
912706	14428	1		Integumentary system
912707	14429	1		Integumentary system
912708	14430	1		Integumentary system
912709	14431	1		Integumentary system
912710	14432	1		Integumentary system
912711	14433	1		Integumentary system
912712	14434	1		Integumentary system
912713	14435	1		Integumentary system
912714	14436	1		Integumentary system
912715	14437	1		Integumentary system
912716	14438	1		Integumentary system
912717	14439	1		Integumentary system
912718	14440	1		Integumentary system
912719	14441	1		Integumentary system
912720	14442	1		Integumentary system
912721	14443	1		Integumentary system
912722	14444	1		Integumentary system
912723	14445	1		Integumentary system
912724	14446	1		Integumentary system
912725	14447	1		Integumentary system
912726	14448	1		Integumentary system
912727	14449	1		Integumentary system
912728	14450	1		Integumentary system
912729	14451	1		Integumentary system
912730	14452	1		Integumentary system
912731	14453	1		Integumentary system
912732	14454	1		Integumentary system
912733	14455	1		Integumentary system
912734	14456	1		Integumentary system
912735	14457	1		Integumentary system
912736	14458	1		Integumentary system
912737	14459	1		Integumentary system
912738	14460	1		Integumentary system
912739	14461	1		Integumentary system
912740	14462	1		Integumentary system
912741	14463	1		Integumentary system
912742	14464	1		Integumentary system
912743	14465	1		Integumentary system
912744	14466	1		Integumentary system
912745	14467	1		Integumentary system
912746	14468	1		Integumentary system
912747	14469	1		Integumentary system
912748	14470	1		Integumentary system
912749	14471	1		Integumentary system
912750	14472	1		Integumentary system
912751	14473	1		Integumentary system
912752	14474	1		Integumentary system
912753	14475	1		Integumentary system
912754	14476	1		Integumentary system
912755	14477	1		Integumentary system
912756	14478	1		Integumentary system
912757	14479	1		Integumentary system
912758	14480	1		Integumentary system
912759	14481	1		Integumentary system
912760	14482	1		Integumentary system
912761	14483	1		Integumentary system
912762	14484	1		Integumentary system
912763	14485	1		Integumentary system
912764	14486	1		Integumentary system
912765	14487	1		Integumentary system
912766	14488	1		Integumentary system
912767	14489	1		Integumentary system
912768	14490	1		Integumentary system
912769	14491	1		Integumentary system
912770	14492	1		Integumentary system
912771	14493	1		Integumentary system
912772	14494	1		Integumentary system
912773	14495	1		Integumentary system
912774	14496	1		Integumentary system
912775	14497	1		Integumentary system
912776	14498	1		Integumentary system
912777	14499	1		Integumentary system
912778	14500	1		Integumentary system
912779	14501	1		Integumentary system
912780	14502	1		Integumentary system
912781	14503	1		Integumentary system
912782	14504	1		Integumentary system
912783	14505	1		Integumentary system
912784	14506	1		Integumentary system
912785	14507	1		Integumentary system
912786	14508	1		Integumentary system
912787	14509	1		Integumentary system
912788	14510	1		Integumentary system
912789	14511	1		Integumentary system
912790	14512	1		Integumentary system
912791	14513	1		Integumentary system
912792	14514	1		Integumentary system
912793	14515	1		Integumentary system
912794	14516	1		Integumentary system
912795	14517	1		Integumentary system
912796	14518	1		Integumentary system
912797	14519	1		Integumentary system
912798	14520	1		Integumentary system
912799	14521	1		Integumentary system
912800	14522	1		Integumentary system
912801	14523	1		Integumentary system
912802	14524	1		Integumentary system
912803	14525	1		Integumentary system
912804	14526	1		Integumentary system
912805	14527	1		Integumentary system
912806	14528	1		Integumentary system
912807	14529	1		Integumentary system
912808	14530	1		Integumentary system
912809	14531	1		Integumentary system
912810	14532	1		Integumentary system
912811	14533	1		Integumentary system
912812	14534	1		Integumentary system
912813	14535	1		Integumentary system
912814	14536	1		Integumentary system
912815	14537	1		Integumentary system
912816	14538	1		Integumentary system
912817	14539	1		Integumentary system
912818	14540	1		Integumentary system
912819	14541	1		Integumentary system
912820	14542	1		Integumentary system
912821	14543	1		Integumentary system
912822	14544	1		Integumentary system
912823	14545	1		Integumentary system
912824	14546	1		Integumentary system
912825	14547	1		Integumentary system
912826	14548	1		Integumentary system
912827	14549	1		Integumentary system
912828	14550	1		Integumentary system
912829	14551	1		Integumentary system
912830	14552	1		Integumentary system
912831	14553	1		Integumentary system
912832	14554	1		Integumentary system
912833	14555	1		Integumentary system
912834	14556	1		Integumentary system
912835	14557	1		Integumentary system
912836	14558	1		Integumentary system
912837	14559	1		Integumentary system
912838	14560	1		Integumentary system
912839	14561	1		Integumentary system
912840	14562	1		Integumentary system
912841	14563	1		Integumentary system
912842	14564	1		Integumentary system
912843	14565	1		Integumentary system
912844	14566	1		Integumentary system
912845	14567	1		Integumentary system
912846	14568	1		Integumentary system
912847	14569	1		Integumentary system
912848	14570	1		Integumentary system
912849	14571	1		Integumentary system
912850	14572	1		Integumentary system
912851	14573	1		Integumentary system
912852	14574	1		Integumentary system
912853	14575	1		Integumentary system
912854	14576	1		Integumentary system
912855	14577	1		Integumentary system
912856	14578	1		Integumentary system
912857	14579	1		Integumentary system
912858	14580	1		Integumentary system
912859	14581	1		Integumentary system
912860	14582	1		Integumentary system
912861	14583	1		Integumentary system
912862	14584	1		Integumentary system
912863	14585	1		Integumentary system
912864	14586	1		Integumentary system
912865	14587	1		Integumentary system
912866	14588	1		Integumentary system
912867	14589	1		Integumentary system
912868	14590	1		Integumentary system
912869	14591	1		Integumentary system
912870	14592	1		Integumentary system
912871	14593	1		Integumentary system
912872	14594	1		Integumentary system
912873	14595	1		Integumentary system
912874	14596	1		Integumentary system
912875	14597	1		Integumentary system
912876	14598	1		Integumentary system
912877	14599	1		Integumentary system
912878	14600	1		Integumentary system
912879	14601	1		Integumentary system
912880	14602	1		Integumentary system
912881	14603	1		Integumentary system
912882	14604	1		Integumentary system
912883	14605	1		Integumentary system
912884	14606	1		Integumentary system
912885	14607	1		Integumentary system
912886	14608	1		Integumentary system
912887	14609	1		Integumentary system
912888	14610	1		Integumentary system
912889	14611	1		Integumentary system
912890	14612	1		Integumentary system
912891	14613	1		Integumentary system
912892	14614	1		Integumentary system
912893	14615	1		Integumentary system
912894	14616	1		Integumentary system
912895	14617	1		Integumentary system
912896	14618	1		Integumentary system
912897	14619	1		Integumentary system
912898	14620	1		Integumentary system
912899	14621	1		Integumentary system
912900	14622	1		Integumentary system
912901	14623	1		Integumentary system
912902	14624	1		Integumentary system
912903	14625	1		Integumentary system
912904	14626	1		Integumentary system
912905	14627	1		Integumentary system
912906	14628	1		Integumentary system
912907	14629	1		Integumentary system
912908	14630	1		Integumentary system
912909	14631	1		Integumentary system
912910	14632	1		Integumentary system
912911	14633	1		Integumentary system
912912	14634	1		Integumentary system
912913	14635	1		Integumentary system
912914	14636	1		Integumentary system
912915	14637	1		Integumentary system
912916	14638	1		Integumentary system
912917	14639	1		Integumentary system
912918	14640	1		Integumentary system
912919	14641	1		Integumentary system
912920	14642	1		Integumentary system
912921	14643	1		Integumentary system
912922	14644	1		Integumentary system
912923	14645	1		Integumentary system
912924	14646	1		Integumentary system
912925	14647	1		Integumentary system
912926	14648	1		Integumentary system
912927	14649	1		Integumentary system
912928	14650	1		Integumentary system
912929	14651	1		Integumentary system
912930	14652	1		Integumentary system
912931	14653	1		Integumentary system
912932	14654	1		Integumentary system
912933	14655	1		Integumentary system
912934	14656	1		Integumentary system
912935	14657	1		Integumentary system
912936	14658	1		Integumentary system
912937	14659	1		Integumentary system
912938	14660	1		Integumentary system
912939	14661	1		Integumentary system
912940	14662	1		Integumentary system
912941	14663	1		Integumentary system
912942	14664	1		Integumentary system
912943	14665	1		Integumentary system
912944	14666	1		Integumentary system
912945	14667	1		Integumentary system
912946	14668	1		Integumentary system
912947	14669	1		Integumentary system
912948	14670	1		Integumentary system
912949	14671	1		Integumentary system
912950	14672	1		Integumentary system
912951	14673	1		Integumentary system
912952	14674	1		Integumentary system
912953	14675	1		Integumentary system
912954	14676	1		Integumentary system
912955	14677	1		Integumentary system
912956	14678	1		Integumentary system
912957	14679	1		Integumentary system
912958	14680	1		Integumentary system
912959	14681	1		Integumentary system
912960	14682	1		Integumentary system
912961	14683	1		Integumentary system
912962	14684	1		Integumentary system
912963	14685	1		Integumentary system
912964	14686	1		Integumentary system
912965	14687	1		Integumentary system
912966	14688	1		Integumentary system
912967	14689	1		Integumentary system
912968	14690	1		Integumentary system
912969	14691	1		Integumentary system
912970	14692	1		Integumentary system
912971	14693	1		Integumentary system
912972	14694	1		Integumentary system
912973	14695	1		Integumentary system
912974	14696	1		Integumentary system
912975	14697	1		Integumentary system
912976	14698	1		Integumentary system
912977	14699	1		Integumentary system
912978	14700	1		Integumentary system
912979	14701	1		Integumentary system
912980	14702	1		Integumentary system
912981	14703	1		Integumentary system
912982	14704	1		Integumentary system
912983	14705	1		Integumentary system
912984	14706	1		Integumentary system
912985	14707	1		Integumentary system
912986	14708	1		Integumentary system
912987	14709	1		Integumentary system
912988	14710	1		Integumentary system
912989	14711	1		Integumentary system
912990	14712	1		Integumentary system
912991	14713	1		Integumentary system
912992	14714	1		Integumentary system
912993	14715	1		Integumentary system
912994	14716	1		Integumentary system
912995	14717	1		Integumentary system
912996	14718	1		Integumentary system
912997	14719	1		Integumentary system
912998	14720	1		Integumentary system
912999	14721	1		Integumentary system
913000	14722	1		Integumentary system
913001	14723	1		Integumentary system
913002	14724	1		Integumentary system
913003	14725	1		Integumentary system
913004	14726	1		Integumentary system
913005	14727	1		Integumentary system
913006	14728	1		Integumentary system
913007	14729	1		Integumentary system
913008	14730	1		Integumentary system
913009	14731	1		Integumentary system
913010	14732	1		Integumentary system
913011	14733	1		Integumentary system
913012	14734	1		Integumentary system
913013	14735	1		Integumentary system
913014	14736	1		Integumentary system
913015	14737	1		Integumentary system
913016	14738	1		Integumentary system
913017	14739	1		Integumentary system
913018	14740	1		Integumentary system
913019	14741	1		Integumentary system
913020	14742	1		Integumentary system
913021	14743	1		Integumentary system
913022	14744	1		Integumentary system
913023	14745	1		Integumentary system
913024	14746	1		Integumentary system
913025	14747	1		Integumentary system
913026	14748	1		Integumentary system
913027	14749	1		Integumentary system
913028	14750	1		Integumentary system
913029	14751	1		Integumentary system
913030	14752	1		Integumentary system
913031	14753	1		Integumentary system
913032	14754	1		Integumentary system
913033	14755	1		Integumentary system
913034	14756	1		Integumentary system
913035	14757	1		Integumentary system
913036	14758	1		Integumentary system
913037	14759	1		Integumentary system
913038	14760	1		Integumentary system
913039	14761	1		Integumentary system
913040	14762	1		Integumentary system
913041	14763	1		Integumentary system
913042	14764	1		Integumentary system
913043	14765	1		Integumentary system
913044	14766	1		Integumentary system
913045	14767	1		Integumentary system
913046	14768	1		Integumentary system
913047	14769	1		Integumentary system
913048	14770	1		Integumentary system
913049	14771	1		Integumentary system
913050	14772	1		Integumentary system
913051	14773	1		Integumentary system
913052	14774	1		Integumentary system
913053	14775	1		Integumentary system
913054	14776	1		Integumentary system
913055	14777	1		Integumentary system
913056	14778	1		Integumentary system
913057	14779	1		Integumentary system
913058	14780	1		Integumentary system
913059	14781	1		Integumentary system
913060	14782	1		Integumentary system
913061	14783	1		Integumentary system
913062	14784	1		Integumentary system
913063	14785	1		Integumentary system
913064	14786	1		Integumentary system
913065	14787	1		Integumentary system
913066	14788	1		Integumentary system
913067	14789	1		Integumentary system
913068	14790	1		Integumentary system
913069	14791	1		Integumentary system
913070	14792	1		Integumentary system
913071	14793	1		Integumentary system
913072	14794	1		Integumentary system
913073	14795	1		Integumentary system
913074	14796	1		Integumentary system
913075	14797	1		Integumentary system
913076	14798	1		Integumentary system
913077	14799	1		Integumentary system
913078	14800	1		Integumentary system
913079	14801	1		Integumentary system
913080	14802	1		Integumentary system
913081	14803	1		Integumentary system
913082	14804	1		Integumentary system
913083	14805	1		Integumentary system
913084	14806	1		Integumentary system
913085	14807	1		Integumentary system
913086	14808	1		Integumentary system
913087	14809	1		Integumentary system
913088	14810	1		Integumentary system
913089	14811	1		Integumentary system
913090	14812	1		Integumentary system
913091	14813	1		Integumentary system
913092	14814	1		Integumentary system
913093	14815	1		Integumentary system
913094	14816	1		Integumentary system
913095	14817	1		Integumentary system
913096	14818	1		Integumentary system
913097	14819	1		Integumentary system
913098	14820	1		Integumentary system
913099	14821	1		Integumentary system
913100	14822	1		Integumentary system
913101	14823	1		Integumentary system
913102	14824	1		Integumentary system
913103	14825	1		Integumentary system
913104	14826	1		Integumentary system
913105	14827	1		Integumentary system
913106	14828	1		Integumentary system
913107	14829	1		Integumentary system
913108	14830	1		Integumentary system
913109	14831	1		Integumentary system
913110	14832	1		Integumentary system
913111	14833	1		Integumentary system
913112	14834	1		Integumentary system
913113	14835	1		Integumentary system
913114	14836	1		Integumentary system
913115	14837	1		Integumentary system
913116	14838	1		Integumentary system
913117	14839	1		Integumentary system
913118	14840	1		Integumentary system
913119	14841	1		Integumentary system
913120	14842	1		Integumentary system
913121	14843	1		Integumentary system
913122	14844	1		Integumentary system
913123	14845	1		Integumentary system
913124	14846	1		Integumentary system
913125	14847	1		Integumentary system
913126	14848	1		Integumentary system
913127	14849	1		Integumentary system
913128	14850	1		Integumentary system
913129	14851	1		Integumentary system
913130	14852	1		Integumentary system
913131	14853	1		Integumentary system
913132	14854	1		Integumentary system
913133	14855	1		Integumentary system
913134	14856	1		Integumentary system
913135	14857	1		Integumentary system
913136	14858	1		Integumentary system
913137	14859	1		Integumentary system
913138	14860	1		Integumentary system
913139	14861	1		Integumentary system
913140	14862	1		Integumentary system
913141	14863	1		Integumentary system
913142	14864	1		Integumentary system
913143	14865	1		Integumentary system
913144	14866	1		Integumentary system
913145	14867	1		Integumentary system
913146	14868	1		Integumentary system
913147	14869	1		Integumentary system
913148	14870	1		Integumentary system
913149	14871	1		Integumentary system
913150	14872	1		Integumentary system
913151	14873	1		Integumentary system
913152	14874	1		Integumentary system
913153	14875	1		Integumentary system
913154	14876	1		Integumentary system
913155	14877	1		Integumentary system
913156	14878	1		Integumentary system
913157	14879	1		Integumentary system
913158	14880	1		Integumentary system
913159	14881	1		Integumentary system
913160	14882	1		Integumentary system
913161	14883	1		Integumentary system
913162	14884	1		Integumentary system
913163	14885	1		Integumentary system
913164	14886	1		Integumentary system
913165	14887	1		Integumentary system
913166	14888	1		Integumentary system
913167	14889	1		Integumentary system
913168	14890	1		Integumentary system
913169	14891	1		Integumentary system
913170	14892	1		Integumentary system
913171	14893	1		Integumentary system
913172	14894	1		Integumentary system
913173	14895	1		Integumentary system
913174	14896	1		Integumentary system
913175	14897	1		Integumentary system
913176	14898	1		Integumentary system
913177	14899	1		Integumentary system
913178	14900	1		Integumentary system
913179	14901	1		Integumentary system
913180	14902	1		Integumentary system
913181	14903	1		Integumentary system
913182	14904	1		Integumentary system
913183	14905	1		Integumentary system
913184	14906	1		Integumentary system
913185	14907	1		Integumentary system
913186	14908	1		Integumentary system
913187	14909	1		Integumentary system
913188	14910	1		Integumentary system
913189	14911	1		Integumentary system
913190	14912	1		Integumentary system
913191	14913	1		Integumentary system
913192	14914	1		Integumentary system
913193	14915	1		Integumentary system
913194	14916	1		Integumentary system
913195	14917	1		Integumentary system
913196	14918	1		Integumentary system
913197	14919	1		Integumentary system
913198	14920	1		Integumentary system
913199	14921	1		Integumentary system
913200	14922	1		Integumentary system
913201	14923	1		Integumentary system
913202	14924	1		Integumentary system
913203	14925	1		Integumentary system
913204	14926	1		Integumentary system
913205	14927	1		Integumentary system
913206	14928	1		Integumentary system
913207	14929	1		Integumentary system
913208	14930	1		Integumentary system
913209	14931	1		Integumentary system
913210	14932	1		Integumentary system
913211	14933	1		Integumentary system
913212	14934	1		Integumentary system
913213	14935	1		Integumentary system
913214	14936	1		Integumentary system
913215	14937	1		Integumentary system
913216	14938	1		Integumentary system
913217	14939	1		Integumentary system
913218	14940	1		Integumentary system
913219	14941	1		Integumentary system
913220	14942	1		Integumentary system
913221	14943	1		Integumentary system
913222	14944	1		Integumentary system
913223	14945	1		Integumentary system
913224	14946	1		Integumentary system
913225	14947	1		Integumentary system
913226	14948	1		Integumentary system
913227	14949	1		Integumentary system
913228	14950	1		Integumentary system
913229	14951	1		Integumentary system
913230	14952	1		Integumentary system
913231	14953	1		Integumentary system
913232	14954	1		Integumentary system
913233	14955	1		Integumentary system
913234	14956	1		Integumentary system
913235	14957	1		Integumentary system
913236	14958	1		Integumentary system
913237	14959	1		Integumentary system
913238	14960	1		Integumentary system
913239	14961	1		Integumentary system
913240	14962	1		Integumentary system
913241	14963	1		Integumentary system
913242	14964	1		Integumentary system
913243	14965	1		Integumentary system
913244	14966	1		Integumentary system
913245	14967	1		Integumentary system
913246	14968	1		Integumentary system
913247	14969	1		Integumentary system
913248	14970	1		Integumentary system
913249	14971	1		Integumentary system
913250	14972	1		Integumentary system
913251	14973	1		Integumentary system
913252	14974	1		Integumentary system
913253	14975	1		Integumentary system
913254	14976	1		Integumentary system
913255	14977	1		Integumentary system
913256	14978	1		Integumentary system
913257	14979	1		Integumentary system
913258	14980	1		Integumentary system
913259	14981	1		Integumentary system
913260	14982	1		Integumentary system
913261	14983	1		Integumentary system
913262	14984	1		Integumentary system
913263	14985	1		Integumentary system
913264	14986	1		Integumentary system
913265	14987	1		Integumentary system
913266	14988	1		Integumentary system
913267	14989	1		Integumentary system
913268	14990	1		Integumentary system
913269	14991	1		Integumentary system
913270	14992	1		Integumentary system
913271	14993	1		Integumentary system
913272	14994	1		Integumentary system
913273	14995	1		Integumentary system
913274	14996	1		Integumentary system
913275	14997	1		Integumentary system
913276	14998	1		Integumentary system
913277	14999	1		Integumentary system
913278	15000	1		Integumentary system
913279	15001	1		Integumentary system
913280	15002	1		Integumentary system
913281	15003	1		Integumentary system
913282	15004	1		Integumentary system
913283	15005	1		Integumentary system
913284	15006	1		Integumentary system
913285	15007	1		Integumentary system
913286	15008	1		Integumentary system
913287	15009	1		Integumentary system
913288	15010	1		Integumentary system
913289	15011	1		Integumentary system
913290	15012	1		Integumentary system
913291	15013	1		Integumentary system
913292	15014	1		Integumentary system
913293	15015	1		Integumentary system
913294	15016	1		Integumentary system
913295	15017	1		Integumentary system
913296	15018	1		Integumentary system
913297	15019	1		Integumentary system
913298	15020	1		Integumentary system
913299	15021	1		Integumentary system
913300	15022	1		Integumentary system
913301	15023	1		Integumentary system
913302	15024	1		Integumentary system
913303	15025	1		Integumentary system
913304	15026	1		Integumentary system
913305	15027	1		Integumentary system
913306	15028	1		Integumentary system
913307	15029	1		Integumentary system
